Order_ID,Customer_Name,Country,iPhone_Model,Storage,Color,Quantity,Price,Sale_Date,Payment_Method,Revenue,Month
1037,Customer_37,Canada,iPhone 14 Pro,128GB,Red,2,1921,4/9/2025,Credit Card,3842,April
1038,Customer_38,UAE,iPhone 14 Pro,128GB,Purple,1,1674,4/17/2025,Credit Card,1674,April
1039,Customer_39,Canada,iPhone 15 Pro Max,256GB,Red,1,1218,1/25/2025,Credit Card,1218,January
1040,Customer_40,UAE,iPhone 15 Pro Max,256GB,Purple,4,1034,5/1/2025,Credit Card,4136,May
1041,Customer_41,UK,iPhone 15,128GB,Black,3,1633,3/27/2025,Credit Card,4899,March
1042,Customer_42,UK,iPhone 15,256GB,Black,4,720,1/20/2025,Debit Card,2880,January
1043,Customer_43,UAE,iPhone 15,128GB,Red,2,1238,3/22/2025,Credit Card,2476,March
1044,Customer_44,USA,iPhone 13,256GB,White,4,1779,1/12/2025,Debit Card,7116,January
1045,Customer_45,UK,iPhone 13,256GB,Purple,5,1667,4/18/2025,Debit Card,8335,April
1046,Customer_46,Germany,iPhone 15 Pro Max,512GB,Blue,1,1094,1/12/2025,PayPal,1094,January
1047,Customer_47,USA,iPhone 12,256GB,White,5,1120,1/11/2025,PayPal,5600,January
1048,Customer_48,USA,iPhone 14,256GB,Black,5,1786,3/28/2025,Cash,8930,March
1049,Customer_49,Canada,iPhone 14,128GB,Black,1,1199,3/27/2025,Debit Card,1199,March
1050,Customer_50,Canada,iPhone 14 Pro,128GB,Blue,1,733,1/12/2025,Cash,733,January
1051,Customer_51,UK,iPhone 15 Pro Max,256GB,Blue,5,1113,1/22/2025,Credit Card,5565,January
1052,Customer_52,Pakistan,iPhone 14,512GB,Blue,5,764,3/12/2025,Debit Card,3820,March
1053,Customer_53,USA,iPhone 14 Pro,128GB,Black,1,1959,2/27/2025,PayPal,1959,February
1054,Customer_54,UK,iPhone 14,256GB,White,1,1829,4/24/2025,Credit Card,1829,April
1055,Customer_55,Pakistan,iPhone 14 Pro,128GB,Blue,2,899,4/10/2025,PayPal,1798,April
1056,Customer_56,USA,iPhone 15,512GB,Black,5,1250,1/2/2025,Debit Card,6250,January
1057,Customer_57,Pakistan,iPhone 14 Pro,256GB,Blue,1,945,5/1/2025,Debit Card,945,May
1058,Customer_58,UK,iPhone 15 Pro Max,256GB,Purple,5,1752,4/11/2025,Debit Card,8760,April
1059,Customer_59,Pakistan,iPhone 14 Pro,512GB,Red,4,1909,4/13/2025,Debit Card,7636,April
1060,Customer_60,Germany,iPhone 14 Pro,512GB,Blue,5,1714,1/12/2025,Credit Card,8570,January
1061,Customer_61,UAE,iPhone 15,512GB,Black,5,1519,2/21/2025,Debit Card,7595,February
1062,Customer_62,Canada,iPhone 13,512GB,Purple,4,1769,4/5/2025,PayPal,7076,April
1063,Customer_63,Canada,iPhone 15 Pro Max,128GB,White,5,1644,2/21/2025,Credit Card,8220,February
1064,Customer_64,UK,iPhone 15 Pro Max,512GB,Red,2,1991,1/28/2025,Cash,3982,January
1065,Customer_65,Canada,iPhone 14,256GB,White,3,1706,1/4/2025,Debit Card,5118,January
1066,Customer_66,USA,iPhone 14,256GB,White,1,1884,3/28/2025,Debit Card,1884,March
1067,Customer_67,Canada,iPhone 14 Pro,128GB,Blue,3,1027,4/22/2025,Debit Card,3081,April
1068,Customer_68,Pakistan,iPhone 15 Pro Max,128GB,Black,2,788,4/5/2025,Credit Card,1576,April
1069,Customer_69,Germany,iPhone 14 Pro,128GB,White,3,796,1/25/2025,PayPal,2388,January
1070,Customer_70,Canada,iPhone 14 Pro,512GB,Blue,4,1829,1/13/2025,Credit Card,7316,January
1071,Customer_71,UK,iPhone 12,512GB,Purple,2,1977,1/10/2025,Cash,3954,January
1072,Customer_72,UAE,iPhone 12,128GB,Red,5,1964,2/6/2025,Debit Card,9820,February
1073,Customer_73,USA,iPhone 14 Pro,128GB,Red,2,1629,1/28/2025,Cash,3258,January
1074,Customer_74,Germany,iPhone 15 Pro Max,256GB,White,1,1987,4/25/2025,PayPal,1987,April
1075,Customer_75,Germany,iPhone 14,512GB,Blue,4,1547,1/10/2025,Cash,6188,January
1076,Customer_76,UK,iPhone 14 Pro,256GB,Red,5,1923,4/12/2025,Cash,9615,April
1077,Customer_77,UAE,iPhone 14 Pro,512GB,Blue,2,1477,2/27/2025,PayPal,2954,February
1078,Customer_78,Pakistan,iPhone 13,128GB,Purple,4,1464,1/15/2025,Cash,5856,January
1079,Customer_79,USA,iPhone 15,128GB,Purple,3,1790,2/12/2025,Credit Card,5370,February
1080,Customer_80,USA,iPhone 15,512GB,Purple,4,1819,2/24/2025,Debit Card,7276,February
1081,Customer_81,Pakistan,iPhone 13,256GB,Purple,5,1579,3/5/2025,Credit Card,7895,March
1082,Customer_82,UK,iPhone 15 Pro Max,256GB,Blue,1,756,3/28/2025,Debit Card,756,March
1083,Customer_83,UK,iPhone 14 Pro,128GB,White,3,1165,3/8/2025,Cash,3495,March
1084,Customer_84,Germany,iPhone 13,256GB,Red,5,1229,3/22/2025,Cash,6145,March
1085,Customer_85,UK,iPhone 12,256GB,White,4,1656,4/12/2025,Cash,6624,April
1086,Customer_86,Germany,iPhone 12,256GB,Black,2,950,4/8/2025,Cash,1900,April
1087,Customer_87,Canada,iPhone 15,128GB,White,1,1903,1/2/2025,PayPal,1903,January
1088,Customer_88,UK,iPhone 15 Pro Max,512GB,Purple,5,718,2/4/2025,Cash,3590,February
1089,Customer_89,USA,iPhone 13,256GB,White,3,1249,1/12/2025,Debit Card,3747,January
1090,Customer_90,USA,iPhone 12,256GB,White,3,887,2/17/2025,Debit Card,2661,February
1091,Customer_91,UAE,iPhone 15,256GB,Red,5,1357,3/22/2025,PayPal,6785,March
1092,Customer_92,UAE,iPhone 15 Pro Max,256GB,White,3,1361,2/10/2025,Credit Card,4083,February
1093,Customer_93,UK,iPhone 12,256GB,Black,3,1971,1/20/2025,Credit Card,5913,January
1094,Customer_94,USA,iPhone 15 Pro Max,512GB,White,1,1622,3/22/2025,Credit Card,1622,March
1095,Customer_95,Canada,iPhone 13,128GB,White,4,1388,1/6/2025,Credit Card,5552,January
1096,Customer_96,UAE,iPhone 14 Pro,256GB,Blue,1,1743,3/9/2025,Credit Card,1743,March
1097,Customer_97,UK,iPhone 15 Pro Max,512GB,White,3,1671,2/8/2025,Credit Card,5013,February
1098,Customer_98,UK,iPhone 15 Pro Max,512GB,White,4,1125,1/8/2025,Debit Card,4500,January
1099,Customer_99,Germany,iPhone 15 Pro Max,512GB,Purple,5,1540,2/4/2025,Debit Card,7700,February
1100,Customer_100,UK,iPhone 15,512GB,Blue,3,1549,3/28/2025,Debit Card,4647,March
